,Title,Artist,Release,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
1,Like,BTS,2013/6/12,0.582,0.726,0,-4.174,0,0.116,0.271,0,0.227,0.768,100.45,1HQHuPpr2s2z3VIBTLtUmv,231883
2,No More Dream,BTS,2013/6/12,0.436,0.869,2,-5.174,1,0.472,0.0124,1.60E-06,0.494,0.612,167.766,4frlkLwlnm58ejpNwWjxyl,221593
3,We Are Bulletproof Pt.2,BTS,2013/6/12,0.754,0.952,8,-5.11,0,0.153,0.00945,6.27E-06,0.189,0.868,144.051,2Kspa0jD2MSkaEdonf4Cnb,225360
4,Attack on Bangtan,BTS,2013/9/11,0.722,0.961,11,-2.548,0,0.267,0.203,0,0.121,0.678,118.016,6bCoSWW1zyQrwQDSMEmsVy,247160
5,Coffee,BTS,2013/9/11,0.652,0.794,0,-6.604,1,0.0957,0.00808,0,0.298,0.545,92.045,0Tb8sBQ9fseZbDRzRSxTdi,261453
6,If I Ruled the World,BTS,2013/9/11,0.745,0.744,7,-6.295,1,0.121,0.0424,0,0.251,0.689,95.993,06uGjA3zCQNxUIGa5dIcdQ,248587
7,Paldo Gangsan,BTS,2013/9/11,0.558,0.944,11,-3.106,0,0.239,0.101,0,0.0995,0.851,105.169,4DHWpbu7t1IAJHbAjWOI3T,205400
8,We On,BTS,2013/9/11,0.801,0.797,5,-4.332,1,0.149,0.0432,2.72E-06,0.118,0.833,96.987,7gSh8RNHaEciG0QUqlx2fN,231493
9,Boy in Luv,BTS,2014/5/14,0.491,0.947,0,-2.252,1,0.306,0.00262,0,0.34,0.473,166.247,0i0hqOQdyFFd4cR5s32w8x,230778
10,Danger,BTS,2014/8/20,0.738,0.868,1,-3.363,1,0.0703,0.000907,0.000215,0.275,0.378,111.992,6njl4FfPUwVmoIR1RKLq05,245140
11,N.O. -Japanese Ver.-,BTS,2014/12/24,0.602,0.86,7,-6.273,1,0.145,0.0269,0,0.101,0.588,146.975,0Sf4J3tlkKJQXbgEfdZKn4,211720
12,THE STARS,BTS,2014/12/24,0.602,0.957,0,-3.132,1,0.244,0.0292,0,0.101,0.574,170.054,6bfFac7HZpl9ix1ZVLgS5Q,255320
13,WAKE UP,BTS,2014/12/24,0.709,0.686,8,-4.797,1,0.0487,0.1,0,0.0865,0.734,91.016,0GAiHTCh5xNDFim5vU8pBK,352133
